Космополис,real_estate_agent,Москва,sale,flat,23,5,199.0,59980000.0,Гагаринский,Ломоносовский проспект,7К5,Вавиловская,
Monumental Group,real_estate_agent,Москва,sale,flat,7,5,200.0,85000000.0,Филевский парк,Барклая ,17,Багратионовская,
Sminex,developer,Москва,sale,flat,23,5,298.3,472040000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Whitewill,real_estate_agent,Москва,sale,flat,9,5,162.0,265500000.0,Арбат, Малая Молчановка,8С1,Арбатская,
Октябрьская,real_estate_agent,Москва,sale,flat,5,5,98.2,24500000.0,Сокольники, Матросская Тишина,23/7к1,Сокольники,
Tekta Group,developer,Москва,sale,flat,27,5,144.0,79617600.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,10,5,250.5,225000000.0,Хамовники,3-я Фрунзенская ,5к1,Фрунзенская,Спорт Хаус
Ольга Фраткина,realtor,Москва,sale,flat,17,5,175.8,40000000.0,Можайский,Дорогобужская ,3,Рабочий посёлок,
ANT Development,developer,Москва,sale,flat,13,5,265.4,415496731.0,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,3,5,347.2,166560000.0,Раменки,Минская ,1Гк7,Ломоносовский проспект,
Apple Real Estate,real_estate_agent,Москва,sale,flat,9,5,150.0,58500000.0,Академический,Профсоюзная ,7/12,Академическая,
Донстрой,developer,Москва,sale,flat,16,5,218.0,206010000.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Kalinka Group,real_estate_agent,Москва,sale,flat,5,5,189.0,129000000.0,Покровское-Стрешнево,Береговая ,4к10,Стрешнево,Покровский берег
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,6,5,301.5,285000000.0,Хамовники,1-й Зачатьевский переулок,6,Кропоткинская,
Sminex,developer,Москва,sale,flat,22,5,265.6,390660000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Contact Real Estate,real_estate_agent,Москва,sale,flat,7,5,267.3,294000000.0,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре
Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,5,170.6,159000000.0,Хамовники,Гагаринский переулок,35,Смоленская,
Донстрой,developer,Москва,sale,flat,14,5,210.4,169372000.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Istudio,real_estate_agent,Москва,sale,flat,6,5,220.0,255000000.0,Раменки,Минская ,2Вк4,Минская,Снегири Эко
Immo,real_estate_agent,Москва,sale,flat,9,5,191.6,139000000.0,Фили-Давыдково,Звенигородская ,8К2,Пионерская,
Киноцентр,representative_developer,Москва,sale,flat,20,5,197.9,191963000.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Intermark Real Estate,real_estate_agent,Москва,sale,flat,6,5,423.0,1645131600.0,Хамовники,Бутиковский переулок,5,Парк Культуры,Бутиковский 5
METRAGE,real_estate_agent,Москва,sale,flat,22,5,134.0,47500000.0,Останкинский, Академика Королева,4К1,Улица Академика Королёва,
Tekta Group,developer,Москва,sale,flat,28,5,112.6,47224440.0,Нагорный,,1,Нагорная,Твелв ЖК
Soul Estate,real_estate_agent,Москва,sale,flat,9,5,191.0,295554000.0,Раменки,Мосфильмовская ,1к9,Ломоносовский проспект,Вишневый сад
Денис Пронин,realtor,Москва,sale,flat,12,5,114.0,19950000.0,Южное Бутово,Скобелевская ,25К2,Улица Скобелевская,
Sminex,developer,Москва,sale,flat,10,5,336.9,1443050000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
Intermark Real Estate,real_estate_agent,Москва,sale,flat,18,5,180.0,107000000.0,Щукино, Расплетина,14,Октябрьское поле,Новая звезда
МЕЗОН,real_estate_agent,Москва,sale,flat,5,5,118.0,38700000.0,Басманный,Старая Басманная ,25С5,Курская,
Киноцентр,developer,Москва,sale,flat,20,5,266.9,264274800.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Point Estate Город,real_estate_agent,Москва,sale,flat,14,5,221.8,257500000.0,Раменки,Мосфильмовская ,1к4,Ломоносовский проспект,Вишневый сад
PEOPLE,real_estate_agent,Москва,sale,flat,15,5,215.0,388920000.0,Хамовники,Саввинская набережная,9,Киевская,
Главстрой,developer,Москва,sale,flat,24,5,205.2,246240000.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
